x,y,label,time,motherx,mothery
12,41,1,2147,12,42
12,42,1,2091,12,43
12,43,1,2031,12,44
12,44,1,1967,12,45
12,45,1,1899,12,46
12,46,1,1827,12,47
12,47,1,1751,12,48
12,48,1,1670,12,49
12,49,1,1585,12,0
13,0,1,1584,13,1
13,1,1,1495,13,2
13,2,1,1402,13,3
13,3,1,1305,13,4
13,4,1,1206,13,5
13,5,1,1109,13,6
13,6,1,1016,13,7
13,7,1,927,13,8
13,8,1,842,13,9
13,9,1,761,13,10
13,10,1,684,12,10
13,11,1,614,12,11
13,12,1,548,12,12
13,13,1,492,12,13
13,14,1,432,12,14
13,15,1,376,12,15
13,16,1,333,12,16
13,17,1,386,12,17
13,18,1,442,12,18
13,19,1,503,12,19
13,20,1,568,12,20
13,21,1,637,12,21
13,22,1,705,12,22
13,23,1,781,12,23
13,24,1,860,12,24
13,25,1,946,13,24
13,26,1,1036,13,25
13,27,1,1130,13,26
13,28,1,1228,13,27
13,29,1,1328,13,28
13,30,1,1424,13,29
13,31,1,1516,13,30
13,32,1,1604,13,31
13,33,1,1688,13,32
13,34,1,1768,13,33
13,35,1,1844,13,34
13,36,1,1916,13,35
13,37,1,1983,13,36
13,38,1,2046,13,37
13,39,1,2105,13,38
13,40,1,2160,13,39
13,41,1,2198,13,42
13,42,1,2146,13,43
13,43,1,2090,13,44
13,44,1,2030,13,45
13,45,1,1966,13,46
13,46,1,1898,13,47
13,47,1,1826,13,48
13,48,1,1750,13,49
13,49,1,1669,13,0
14,0,1,1664,14,1
14,1,1,1579,14,2
14,2,1,1490,14,3
14,3,1,1397,14,4
14,4,1,1300,14,5
14,5,1,1201,14,6
14,6,1,1104,14,7
14,7,1,1012,14,8
14,8,1,924,14,9
14,9,1,840,14,10
14,10,1,760,13,10
14,11,1,687,13,11
14,12,1,617,13,12
14,13,1,557,13,13
14,14,1,493,13,14
14,15,1,433,13,15
14,16,1,387,13,16
14,17,1,444,13,17
14,18,1,504,13,18
14,19,1,569,13,19
14,20,1,638,13,20
14,21,1,711,13,21
14,22,1,783,13,22
14,23,1,863,13,23
14,24,1,945,13,24
14,25,1,1034,14,24
14,26,1,1128,14,25
14,27,1,1226,14,26
14,28,1,1326,14,27
14,29,1,1422,14,28
14,30,1,1514,14,29
14,31,1,1602,14,30
14,32,1,1686,14,31
14,33,1,1766,14,32
14,34,1,1842,14,33
14,35,1,1914,14,34
14,36,1,1982,14,35
14,37,1,2045,14,36
14,38,1,2104,14,37
14,39,1,2159,14,38
14,40,1,2210,14,39
14,41,1,2245,14,42
14,42,1,2197,14,43
14,43,1,2145,14,44
14,44,1,2089,14,45
14,45,1,2029,14,46
14,46,1,1964,14,47
14,47,1,1895,14,48
14,48,1,1822,14,49
14,49,1,1745,14,0
15,0,1,1742,15,1
15,1,1,1661,15,2
15,2,1,1576,15,3
15,3,1,1487,15,4
15,4,1,1394,15,5
15,5,1,1298,15,6
15,6,1,1200,14,6
15,7,1,1105,14,7
15,8,1,1013,14,8
15,9,1,925,14,9
15,10,1,841,14,10
15,11,1,764,14,11
15,12,1,690,14,12
15,13,1,626,14,13
15,14,1,558,14,14
15,15,1,494,14,15
15,16,1,445,14,16
15,17,1,506,14,17
15,18,1,570,14,18
15,19,1,639,14,19
15,20,1,712,14,20
15,21,1,789,14,21
15,22,1,865,14,22
15,23,1,949,14,23
15,24,1,1035,14,24
15,25,1,1127,14,25
15,26,1,1224,15,25
15,27,1,1323,15,26
15,28,1,1418,15,27
15,29,1,1509,15,28
15,30,1,1596,15,29
15,31,1,1679,15,30
15,32,1,1758,15,31
15,33,1,1834,15,32
15,34,1,1906,15,33
15,35,1,1974,15,34
15,36,1,2038,15,35
15,37,1,2098,15,36
15,38,1,2154,15,37
15,39,1,2206,15,38
15,40,1,2254,15,39
15,41,1,2288,15,42
15,42,1,2244,15,43
15,43,1,2196,15,44
15,44,1,2144,15,45
15,45,1,2087,15,46
15,46,1,2026,15,47
15,47,1,1961,15,48
15,48,1,1892,15,49
15,49,1,1819,15,0
16,0,1,1818,16,1
16,1,1,1741,16,2
16,2,1,1660,16,3
16,3,1,1575,16,4
16,4,1,1486,15,4
16,5,1,1395,15,5
16,6,1,1299,15,6
16,7,1,1202,15,7
16,8,1,1106,15,8
16,9,1,1014,15,9
16,10,1,926,15,10
16,11,1,845,15,11
16,12,1,767,15,12
16,13,1,699,15,13
16,14,1,627,15,14
16,15,1,559,15,15
16,16,1,507,15,16
16,17,1,572,15,17
16,18,1,640,15,18
16,19,1,713,15,19
16,20,1,790,15,20
16,21,1,871,15,21
16,22,1,951,15,22
16,23,1,1039,15,23
16,24,1,1129,15,24
16,25,1,1225,15,25
16,26,1,1324,15,26
16,27,1,1419,15,27
16,28,1,1510,15,28
16,29,1,1597,15,29
16,30,1,1680,15,30
16,31,1,1759,15,31
16,32,1,1833,15,32
16,33,1,1905,16,32
16,34,1,1973,16,33
16,35,1,2037,16,34
16,36,1,2097,16,35
16,37,1,2153,16,36
16,38,1,2205,16,37
16,39,1,2253,16,38
16,40,1,2297,16,39
16,41,1,2327,16,42
16,42,1,2287,16,43
16,43,1,2243,16,44
16,44,1,2195,16,45
16,45,1,2143,16,46
16,46,1,2086,16,47
16,47,1,2025,16,48
16,48,1,1960,16,49
16,49,1,1891,16,0
17,0,1,1890,17,1
17,1,1,1817,17,2
17,2,1,1740,17,3
17,3,1,1659,17,4
17,4,1,1574,16,4
17,5,1,1488,16,5
17,6,1,1396,16,6
17,7,1,1301,16,7
17,8,1,1203,16,8
17,9,1,1107,16,9
17,10,1,1015,16,10
17,11,1,930,16,11
17,12,1,848,16,12
17,13,1,776,16,13
17,14,1,700,16,14
17,15,1,628,16,15
17,16,1,573,16,16
17,17,1,642,16,17
17,18,1,714,16,18
17,19,1,791,16,19
17,20,1,872,16,20
17,21,1,957,16,21
17,22,1,1041,16,22
17,23,1,1133,16,23
17,24,1,1227,16,24
17,25,1,1325,16,25
17,26,1,1420,16,26
17,27,1,1511,16,27
17,28,1,1598,16,28
17,29,1,1681,16,29
17,30,1,1760,16,30
17,31,1,1835,16,31
